Starting batch job

610it [06:31,  1.63s/it, bound: 0 | nc: 11 | ncall: 1685 | eff(%): 36.202 | loglstar:   -inf < -2.751 <    inf | logz: -8.512 +/-  0.100 | dlogz: 72.102 >  0.010]
611it [06:31,  1.25s/it, bound: 0 | nc: 1 | ncall: 1686 | eff(%): 36.240 | loglstar:   -inf < -2.462 <    inf | logz: -8.314 +/-  0.100 | dlogz: 71.917 >  0.010] 
612it [06:34,  1.76s/it, bound: 0 | nc: 9 | ncall: 1695 | eff(%): 36.106 | loglstar:   -inf < -2.448 <    inf | logz: -8.126 +/-  0.100 | dlogz: 71.717 >  0.010]
613it [06:35,  1.33s/it, bound: 0 | nc: 1 | ncall: 1696 | eff(%): 36.144 | loglstar:   -inf < -2.210 <    inf | logz: -7.948 +/-  0.099 | dlogz: 71.528 >  0.010]
614it [06:35,  1.03s/it, bound: 0 | nc: 1 | ncall: 1697 | eff(%): 36.181 | loglstar:   -inf < -1.982 <    inf | logz: -7.761 +/-  0.099 | dlogz: 71.347 >  0.010]
615it [06:38,  1.71s/it, bound: 0 | nc: 10 | ncall: 1707 | eff(%): 36.028 | loglstar:   -inf < -0.286 <    inf | logz: -7.284 +/-  0.103 | dlogz: 71.158 >  0.010]
616it [06:39,  1.30s/it, bound: 0 | nc: 1 | ncall: 1708 | eff(%): 36.066 | loglstar:   -inf < -0.078 <    inf | logz: -6.746 +/-  0.105 | dlogz: 70.680 >  0.010] 
617it [06:40,  1.20s/it, bound: 0 | nc: 3 | ncall: 1711 | eff(%): 36.061 | loglstar:   -inf <  0.260 <    inf | logz: -6.307 +/-  0.105 | dlogz: 70.139 >  0.010]
618it [06:43,  1.93s/it, bound: 0 | nc: 11 | ncall: 1722 | eff(%): 35.889 | loglstar:   -inf <  1.155 <    inf | logz: -5.769 +/-  0.107 | dlogz: 69.698 >  0.010]Submitted batch job 37223080

619it [06:44,  1.55s/it, bound: 0 | nc: 2 | ncall: 1724 | eff(%): 35.905 | loglstar:   -inf <  2.147 <    inf | logz: -5.031 +/-  0.109 | dlogz: 69.158 >  0.010] 
620it [06:44,  1.18s/it, bound: 0 | nc: 1 | ncall: 1725 | eff(%): 35.942 | loglstar:   -inf <  2.821 <    inf | logz: -4.278 +/-  0.110 | dlogz: 68.418 >  0.010]
621it [06:46,  1.32s/it, bound: 0 | nc: 5 | ncall: 1730 | eff(%): 35.896 | loglstar:   -inf <  3.012 <    inf | logz: -3.704 +/-  0.110 | dlogz: 67.663 >  0.010]
622it [06:46,  1.02s/it, bound: 0 | nc: 1 | ncall: 1731 | eff(%): 35.933 | loglstar:   -inf <  3.988 <    inf | logz: -3.078 +/-  0.110 | dlogz: 67.088 >  0.010]
623it [06:47,  1.11s/it, bound: 0 | nc: 4 | ncall: 1735 | eff(%): 35.908 | loglstar:   -inf <  4.498 <    inf | logz: -2.437 +/-  0.110 | dlogz: 66.459 >  0.010]Submitted batch job 37223083

624it [06:49,  1.27s/it, bound: 0 | nc: 5 | ncall: 1740 | eff(%): 35.862 | loglstar:   -inf <  4.530 <    inf | logz: -1.966 +/-  0.109 | dlogz: 65.816 >  0.010]
625it [06:49,  1.01it/s, bound: 0 | nc: 1 | ncall: 1741 | eff(%): 35.899 | loglstar:   -inf <  4.785 <    inf | logz: -1.605 +/-  0.107 | dlogz: 65.344 >  0.010]
626it [06:50,  1.12it/s, bound: 0 | nc: 2 | ncall: 1743 | eff(%): 35.915 | loglstar:   -inf <  5.276 <    inf | logz: -1.234 +/-  0.107 | dlogz: 64.980 >  0.010]Submitted batch job 37223098

627it [06:52,  1.32s/it, bound: 0 | nc: 7 | ncall: 1750 | eff(%): 35.829 | loglstar:   -inf <  5.386 <    inf | logz: -0.893 +/-  0.106 | dlogz: 64.607 >  0.010]
628it [06:53,  1.02s/it, bound: 0 | nc: 1 | ncall: 1751 | eff(%): 35.865 | loglstar:   -inf <  5.838 <    inf | logz: -0.563 +/-  0.105 | dlogz: 64.264 >  0.010]Submitted batch job 37223099

629it [06:54,  1.11s/it, bound: 0 | nc: 4 | ncall: 1755 | eff(%): 35.840 | loglstar:   -inf <  5.920 <    inf | logz: -0.257 +/-  0.105 | dlogz: 63.932 >  0.010]
630it [06:55,  1.17s/it, bound: 0 | nc: 4 | ncall: 1759 | eff(%): 35.816 | loglstar:   -inf <  6.345 <    inf | logz:  0.040 +/-  0.104 | dlogz: 63.624 >  0.010]
631it [06:56,  1.02s/it, bound: 0 | nc: 2 | ncall: 1761 | eff(%): 35.832 | loglstar:   -inf <  6.739 <    inf | logz:  0.366 +/-  0.104 | dlogz: 63.325 >  0.010]Submitted batch job 37223102
Submitted batch job 37223104

632it [07:00,  1.80s/it, bound: 0 | nc: 11 | ncall: 1772 | eff(%): 35.666 | loglstar:   -inf <  6.783 <    inf | logz:  0.658 +/-  0.104 | dlogz: 62.997 >  0.010]
633it [07:01,  1.55s/it, bound: 0 | nc: 3 | ncall: 1775 | eff(%): 35.662 | loglstar:   -inf <  7.746 <    inf | logz:  1.041 +/-  0.104 | dlogz: 62.703 >  0.010] Submitted batch job 37223105

634it [07:01,  1.29s/it, bound: 0 | nc: 2 | ncall: 1777 | eff(%): 35.678 | loglstar:   -inf <  8.075 <    inf | logz:  1.479 +/-  0.105 | dlogz: 62.318 >  0.010]
635it [07:03,  1.30s/it, bound: 0 | nc: 4 | ncall: 1781 | eff(%): 35.654 | loglstar:   -inf <  8.169 <    inf | logz:  1.838 +/-  0.105 | dlogz: 61.878 >  0.010]
